id,listing_url,name,summary,description,host_id,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,street,neighbourhood,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
1766327,https://www.airbnb.com/rooms/1766327,,,,9281234,2013,,1,,,,,,Oud-Oost,Amsterdam,North Holland,1094,,52.3651847,4.928650614,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,89,,,500,,2,37,2,,,10,21/10/2013,9/8/2015,93,9,10,10,10,9,9,,
1766502,https://www.airbnb.com/rooms/1766502,,,,9281957,2013,,N/A,,,,,,Zuid,Amsterdam,North Holland,1071,,52.35458422,4.880788015,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,121,,,,,2,30,2,,,1,19/12/2013,1/8/2015,97,10,8,10,10,10,10,,
1766570,https://www.airbnb.com/rooms/1766570,,,,9282300,2013,,1,,,,,,Centrum-Oost,Amsterdam,North Holland,1017 EN,,52.36357797,4.889276,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,289,,,,10,1,0,7,,,0,3/9/2013,3/7/2015,,,,,,,,,
4329293,https://www.airbnb.com/rooms/4329293,,,,9282300,2013,,1,,,,,,Centrum-Oost,Amsterdam,North Holland,1017 EN,,52.36377419,4.889691715,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,324,,,"1,000.00",30,1,0,7,,,0,17/05/2013,18/07/2015,,,,,,,,,
2993046,https://www.airbnb.com/rooms/2993046,,,,9282639,2013,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 BA,,52.34910922,4.886829734,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,70,,,,,1,0,3,,,6,9/9/2013,18/08/2015,100,10,10,10,10,9,10,,
1767105,https://www.airbnb.com/rooms/1767105,,,,9284477,2013,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074,,52.35186421,4.899066926,,Apartment,Entire home/apt,5,1,2,2,Real Bed,,225,,,,,1,0,1,,,2,4/12/2013,2/7/2015,97,10,9,10,10,10,10,,
5367709,https://www.airbnb.com/rooms/5367709,,,,9287585,2013,,0.88,,,,,,Centrum-West,Amsterdam,Noord-Holland,1013XG,,52.37900212,4.89239821,,Bed & Breakfast,Private room,3,1,1,2,Real Bed,,119,,,,,2,15,1,,,1,8/1/2013,2/9/2015,100,10,10,10,10,10,10,,
1996779,https://www.airbnb.com/rooms/1996779,,,,9301752,2013,,0.7,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1016 XT,,52.36514192,4.878752678,,Apartment,Entire home/apt,2,1,0,1,Real Bed,,69,,,,,1,0,3,,,12,19/04/2013,28/07/2015,92,10,9,10,9,9,9,,
1899359,https://www.airbnb.com/rooms/1899359,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,North Holland,1093 JK,,52.35991428,4.927528476,,Apartment,Entire home/apt,6,1,2,3,Real Bed,,120,,,,,1,0,7,,,0,27/09/2013,14/09/2015,,,,,,,,,
1780985,https://www.airbnb.com/rooms/1780985,,,,9302267,2013,,0.46,,,,,,Oud-Oost,Amsterdam,North Holland,1093 JK,,52.36158233,4.927985768,,Apartment,Entire home/apt,6,1,2,4,Real Bed,,105,,,,20,1,0,7,,,0,27/05/2013,15/09/2015,,,,,,,,,
